epoch,loss,Pitch,Yaw,Roll
001,0.094,5.674,5.471,4.144
002,0.052,5.421,5.161,3.696
003,0.044,5.352,5.127,3.929
004,0.040,5.243,4.514,3.656
005,0.036,5.310,4.677,3.784
006,0.033,5.149,4.286,3.553
007,0.031,5.084,4.404,3.374
008,0.029,5.142,4.297,3.563
009,0.028,5.052,4.216,3.371
010,0.027,5.046,4.133,3.399
011,0.025,5.105,4.141,3.439
012,0.024,5.077,4.094,3.442
013,0.023,5.119,3.966,3.519
014,0.022,5.025,3.989,3.417
015,0.022,4.994,3.963,3.358
016,0.021,4.974,3.932,3.368
017,0.020,4.960,3.905,3.373
018,0.020,4.928,3.891,3.353
019,0.019,4.921,3.874,3.352
020,0.019,4.908,3.870,3.348
021,0.018,4.900,3.859,3.348
022,0.018,4.899,3.861,3.355
023,0.017,4.900,3.858,3.359
024,0.017,4.902,3.851,3.363
025,0.017,4.904,3.848,3.366
026,0.017,4.909,3.847,3.376
027,0.016,4.910,3.838,3.373
028,0.016,4.905,3.827,3.367
029,0.016,4.898,3.818,3.365
030,0.015,4.888,3.813,3.361
031,0.015,4.870,3.808,3.348
032,0.015,4.859,3.804,3.337
033,0.014,4.854,3.802,3.333
034,0.014,4.846,3.800,3.324
035,0.014,4.835,3.794,3.315
036,0.014,4.828,3.791,3.309
037,0.014,4.818,3.782,3.299
038,0.013,4.812,3.775,3.292
039,0.013,4.808,3.770,3.288
040,0.013,4.803,3.765,3.285
041,0.013,4.798,3.762,3.281
042,0.012,4.796,3.760,3.279
043,0.012,4.795,3.753,3.278
044,0.012,4.799,3.751,3.282
045,0.012,4.804,3.747,3.286
046,0.012,4.806,3.742,3.283
047,0.011,4.805,3.739,3.283
048,0.011,4.800,3.738,3.279
049,0.011,4.801,3.737,3.278
050,0.011,4.807,3.733,3.282
051,0.011,4.808,3.728,3.281
052,0.011,4.810,3.724,3.282
053,0.010,4.808,3.720,3.273
054,0.010,4.803,3.719,3.265
055,0.010,4.797,3.716,3.257
056,0.010,4.787,3.711,3.253
057,0.010,4.780,3.709,3.249
058,0.010,4.778,3.707,3.249
059,0.009,4.783,3.705,3.251
060,0.009,4.790,3.703,3.255
061,0.009,4.791,3.700,3.258
062,0.009,4.790,3.699,3.258
063,0.009,4.787,3.697,3.257
064,0.009,4.786,3.696,3.255
065,0.009,4.785,3.694,3.253
066,0.009,4.784,3.692,3.254
067,0.009,4.783,3.687,3.254
068,0.008,4.784,3.686,3.257
069,0.008,4.783,3.683,3.257
070,0.008,4.786,3.682,3.261
071,0.008,4.785,3.680,3.261
072,0.008,4.784,3.679,3.261
073,0.008,4.784,3.679,3.263
074,0.008,4.785,3.678,3.264
075,0.008,4.786,3.676,3.265
076,0.008,4.787,3.675,3.267
077,0.008,4.788,3.674,3.268
078,0.008,4.791,3.673,3.271
079,0.007,4.792,3.671,3.271
080,0.007,4.793,3.670,3.271
081,0.007,4.792,3.669,3.271
082,0.007,4.792,3.669,3.271
083,0.007,4.793,3.668,3.272
084,0.007,4.792,3.668,3.270
085,0.007,4.792,3.669,3.270
086,0.007,4.792,3.670,3.270
087,0.007,4.792,3.669,3.270
088,0.007,4.792,3.670,3.270
089,0.007,4.793,3.670,3.271
090,0.007,4.794,3.670,3.272
